,Name,Price,Storage,RAM Memory,Screen size,Screen Resolution,Processor Model,Processor Number,Processor manufacturer,Operating System,Battery Run Time,Optical Drive,Touchscreen,Warranty
0,Lenovo V110 A9-9410 4GB 128GB SSD 15.6 Inch Windows 10 Laptop - 80TD005PUK,279.97,128.0,4.0,15.6,1366 x 768,A9,9410,AMD,Windows 10,6.0,DVD-RW,Non Touch,1 year warranty
1,Asus VivoBook Slim S15 Core i7-8850U 8GB 256GB SSD 15.6 Inch Full HD Ultrabook Laptop - S510UA-BQ462T,669.97,256.0,8.0,15.6,,Intel Core i7,8850U,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
2,New Apple MacBook Pro Core i7 2.6GHz 16GB 256GB SSD 15 Inch OS X 10.12 Sierra with Touch Bar Laptop  - MLH32B/A,1699.97,256.0,16.0,15.0,2880 x 1800,Intel Core i7,,Intel,MacOS,10.0,No optical drive,Touchscreen,1 year warranty
3,HP 250 G6 Core i7-7500U 8GB 256GB SSD 15.6 Inch Full HD Windows 10 Laptop  - 2SY44ES,569.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,7500U,Intel,Windows 10,6.0,No optical drive,Non Touch,1 year warranty
4,Refurbished HP Elitebook 840 G1 Ultrabook Core i5-4300U 8GB 180GB 14 Inch Windows 10 Professional Laptop with 1 Year Warranty - T1/HPE840i58GB180GB1YR,299.97,180.0,8.0,14.0,1600 x 900,Intel Core i5,4300U,Intel,Windows 10 Pro,18.0,None,Non Touch,1 year RTB warranty
5,Lenovo ThinkPad E570 Core i3-6006U 4GB 500GB DVD-RW 15.6 Inch Windows 10 Pro Laptop - 20H5007NUK,399.97,500.0,4.0,15.6,1366 x 768,Intel Core i3,6006U,Intel,Windows 10 Pro,7.0,DVD-RW,Non Touch,1 year warranty
6,Refurbished HP Pavilion 14-bk063sa Intel Pentium 4415U 4GB 1TB 14 Inch Windows 10 Laptop - A1/1VJ36EA,274.97,1000.0,4.0,14.0,1366 x 768,Intel Pentium,4415U,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
7,HP 15-BW094NA AMD A10-9620P Quad Core 4GB 128GB SSD 15.6 Inch Full HD Windows 10 Laptop  - 2PW65EA,319.97,128.0,4.0,15.6,1920 x 1080,AMD A10,9620P,AMD,Windows 10,11.0,No optical drive,Non Touch,1 year warranty
8,Refurbished HP 15-bw067sa AMD A9-9420 4GB 1TB 15.6 Inch Windows 10 Laptop - A1/2CU84EA,279.97,1000.0,4.0,15.6,1920 x 1080,AMD A4,9120,AMD,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
9,Refurbished HP Stream 14-ax054sa Intel Celeron N3060 2GB 32GB 14 Inch Windows 10 Laptop in White - A1/Z3C78EA,149.97,32.0,2.0,14.0,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
10,Asus Vivobook X541 Core i5-7200u 4GB 1TB 15.6 Inch Windows 10 Laptop - X541UA-GO1303T,399.97,1000.0,4.0,15.6,,Intel Core i5,7200u,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
11,Lenovo V330-15IKB Core i5-8250U 4GB 500GB DVD-Writer Full HD 15.6 Inch Windows 10 Professional Laptop  - 81AX00FHUK,417.97,500.0,4.0,15.6,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,6.0,DVD-RW,Non Touch,1 year warranty
12,Refurbished Lenovo ThinkPad T440s Core i7 4600U 12GB 240GB 14 Inch  Windows 10 Professional 1 Year Warranty - T1/T440S-UK-T020,429.97,240.0,12.0,14.0,1920 1080,Intel Core i7,4600U,Intel,Windows 10 Pro,,No optical drive,Non Touch,1 year RTB warranty
13,HP 250 G6 Core i5-7200U 8GB 256GB SSD 15.6 Inch Full HD Windows 10 Laptop - 2SY46ES,469.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,7200u,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
14,Lenovo IdeaPad Yoga 300 Intel Celeron N3060 4GB 500GB 11.6 Inch Windows 10 Convertible Laptop - 80M100S4UK,289.97,500.0,4.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,5.0,No optical drive,Touchscreen,1 year warranty
15,Lenovo ThinkPad E580 20KS Core i5-8250U 8GB 256GB 15.6 Inch Windows 10 Professional Laptop - 20KS001JUK,669.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,13.0,No optical drive,Non Touch,1 year warranty
16,Lenovo ThinkPad E585 20KV Ryzen 7 2700U 8GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop - 20KV000GUK,729.97,256.0,8.0,15.6,1920 x 1080,Ryzen 7,2700U,AMD,Windows 10 Pro,,No optical drive,Non Touch,3 year warranty
17,MSI GT75VR 7RF Titan Pro Core i7-7820HK 16GB 1TB + 256GB SSD 17.3 Inch GeForce GTX 1080 8GB Windows 10 Gaming Laptop - 9S7-17A211-011,2499.97,256.0,16.0,17.3,1920 x 1080,Intel Core i7,7820HK,Intel,Windows 10,3.0,No optical drive,Non Touch,
